0	0.055	0.064	0.161	0.126	0.114	0.059	0.149
0.055	0	0.059	0.171	0.136	0.139	0.058	0.037
0.064	0.059	0	0.089	0.081	0.104	0.118	0.102
0.161	0.171	0.089	0	0.041	0.048	0.125	0.189
0.126	0.136	0.081	0.041	0	0.032	0.077	0.141
0.114	0.139	0.104	0.048	0.032	0	0.068	0.084
0.059	0.058	0.118	0.125	0.077	0.068	0	0.091
0.149	0.037	0.102	0.189	0.141	0.084	0.091	0
